review_id,order_id,product_id,customer_id,rating,review_date,review_text
1,1,13,53,4,2025-07-20 10:20:47,Decent product for the price.
2,2,23,13,1,2025-06-30 01:02:24,Exceeded expectations!
3,4,25,52,5,2025-09-16 17:00:35,Exceeded expectations!
4,5,40,60,2,2025-06-21 19:38:05,Would definitely recommend to friends.
5,6,31,83,5,2025-10-26 23:09:02,Not satisfied with the durability.
6,7,31,94,3,2025-10-28 19:26:04,Exceeded expectations!
7,8,14,39,4,2025-07-15 03:15:38,Exceeded expectations!
8,9,32,41,3,2025-07-23 05:40:10,Great quality and fast shipping.
9,10,31,46,3,2025-06-21 12:31:13,Not satisfied with the durability.
10,11,35,32,4,2025-11-10 17:54:38,Exceeded expectations!
11,12,1,63,5,2025-09-05 10:39:53,Decent product for the price.
12,14,31,8,5,2025-07-05 14:59:27,Not satisfied with the durability.
13,15,40,37,4,2025-06-28 23:31:11,Not satisfied with the durability.
14,16,5,56,2,2025-06-07 15:22:23,Would definitely recommend to friends.
15,21,47,37,4,2025-10-01 09:47:15,Decent product for the price.
16,23,42,66,4,2025-07-31 04:01:04,Would definitely recommend to friends.
17,24,2,81,4,2025-11-13 22:40:25,Decent product for the price.
18,25,19,27,5,2025-06-25 01:48:25,Great quality and fast shipping.
19,26,10,82,3,2025-06-13 10:16:17,Decent product for the price.
20,29,1,66,4,2025-06-25 00:32:10,Decent product for the price.
21,30,43,95,3,2025-08-05 18:08:45,Not satisfied with the durability.
22,32,12,11,1,2025-06-07 05:19:08,Exceeded expectations!
23,34,32,9,2,2025-09-15 06:36:43,Exceeded expectations!
24,37,42,4,4,2025-07-20 14:00:36,Decent product for the price.
25,39,12,89,5,2025-09-12 03:25:15,Decent product for the price.
26,40,26,17,3,2025-11-08 11:21:48,Decent product for the price.
27,42,24,26,1,2025-10-05 18:57:58,Exceeded expectations!
28,43,38,4,3,2025-08-02 07:14:07,Great quality and fast shipping.
29,45,11,71,4,2025-06-15 08:35:28,Exceeded expectations!
30,46,24,79,1,2025-07-27 21:17:17,Not satisfied with the durability.
31,48,29,73,4,2025-05-28 21:09:22,Would definitely recommend to friends.
32,49,20,57,2,2025-06-09 09:03:20,Not satisfied with the durability.
33,50,8,9,1,2025-10-23 12:19:17,Great quality and fast shipping.
34,51,12,38,1,2025-06-26 19:31:40,Decent product for the price.
35,52,16,37,3,2025-08-07 20:19:44,Not satisfied with the durability.
36,54,28,33,2,2025-08-22 13:02:25,Exceeded expectations!
37,56,3,75,3,2025-09-07 20:21:12,Would definitely recommend to friends.
38,58,22,59,3,2025-07-04 19:47:33,Exceeded expectations!
39,60,15,44,2,2025-10-18 20:11:22,Great quality and fast shipping.
40,61,27,51,3,2025-09-10 10:45:54,Would definitely recommend to friends.
41,62,26,72,5,2025-05-18 23:13:47,Not satisfied with the durability.
42,66,49,14,3,2025-10-23 08:41:38,Great quality and fast shipping.
43,68,41,63,5,2025-08-25 06:54:46,Not satisfied with the durability.
44,70,48,6,4,2025-07-29 11:44:43,Exceeded expectations!
45,71,41,5,1,2025-09-28 23:59:22,Great quality and fast shipping.
46,73,41,78,1,2025-05-26 07:21:26,Not satisfied with the durability.
47,74,6,58,4,2025-05-26 20:47:23,Not satisfied with the durability.
48,75,16,87,3,2025-11-13 21:29:31,Great quality and fast shipping.
49,76,4,62,1,2025-10-20 02:34:49,Decent product for the price.
50,80,39,72,3,2025-10-28 02:12:36,Would definitely recommend to friends.
51,85,50,1,5,2025-10-22 09:40:40,Great quality and fast shipping.
52,88,15,95,1,2025-07-12 18:54:49,Great quality and fast shipping.
53,90,13,21,5,2025-07-05 07:01:52,Decent product for the price.
54,91,14,63,5,2025-07-02 20:19:53,Not satisfied with the durability.
55,94,36,79,4,2025-11-06 16:42:05,Great quality and fast shipping.
